company,date,environment,governance,riskscore,social,stock,symbol
"salesforce.com, inc.","Mar 31, 2016",9.2,5.1,25,10.8,75.80,CRM
"salesforce.com, inc.","Mar 01, 2016",9.2,5.1,25,10.8,73.83,CRM
"salesforce.com, inc.","Feb 01, 2016",9.2,5.1,25,10.8,67.75,CRM
"salesforce.com, inc.","Jan 01, 2016",9.2,5.1,25,10.8,68.06,CRM
"salesforce.com, inc.","Dec 01, 2015",9.2,5.1,25,10.8,78.40,CRM
"salesforce.com, inc.","Nov 06, 2020",0.5,4.3,11,6.5,260.15,CRM
"salesforce.com, inc.","Oct 31, 2020",0.5,4.3,11,6.5,260.15,CRM
"salesforce.com, inc.","Sep 30, 2020",0.5,4.3,11,6.5,232.27,CRM
"salesforce.com, inc.","Aug 31, 2020",0.5,4.3,11,6.5,251.32,CRM
"salesforce.com, inc.","Jul 31, 2020",0.5,4.3,11,6.5,272.65,CRM
"salesforce.com, inc.","Jun 30, 2020",0.5,4.3,11,6.5,194.85,CRM
"salesforce.com, inc.","May 31, 2020",0.5,4.3,11,6.5,187.33,CRM
"salesforce.com, inc.","Apr 30, 2020",0.5,4.3,11,6.5,174.79,CRM
"salesforce.com, inc.","Mar 31, 2020",0.5,4.3,11,6.5,161.95,CRM
"salesforce.com, inc.","Mar 01, 2020",0.5,4.3,11,6.5,143.98,CRM
"salesforce.com, inc.","Feb 01, 2020",0.5,4.3,11,6.5,170.40,CRM
"salesforce.com, inc.","Jan 01, 2020",0.5,4.3,11,6.5,182.31,CRM
"salesforce.com, inc.","Dec 01, 2019",0.5,4.3,11,6.5,162.64,CRM
"salesforce.com, inc.","Oct 31, 2019",0.5,4.3,11,6.5,162.89,CRM
"salesforce.com, inc.","Sep 30, 2019",0.5,4.3,11,6.5,156.49,CRM
"salesforce.com, inc.","Aug 31, 2019",0.5,4.3,11,6.5,148.44,CRM
"salesforce.com, inc.","Jul 31, 2019",0.5,4.3,11,6.5,156.07,CRM
"salesforce.com, inc.","Jun 30, 2019",0.5,4.3,11,6.5,154.50,CRM
"salesforce.com, inc.","May 31, 2019",0.5,4.3,11,6.5,151.73,CRM
"salesforce.com, inc.","Apr 30, 2019",0.5,4.3,11,6.5,151.41,CRM
"salesforce.com, inc.","Mar 31, 2019",0.5,4.3,11,6.5,165.35,CRM
"salesforce.com, inc.","Mar 01, 2019",0.5,4.3,11,6.5,158.37,CRM
"salesforce.com, inc.","Feb 01, 2019",0.5,4.3,11,6.5,163.65,CRM
"salesforce.com, inc.","Jan 01, 2019",0.5,4.3,11,6.5,151.97,CRM
"salesforce.com, inc.","Dec 01, 2018",0.5,4.3,11,6.5,136.97,CRM
"salesforce.com, inc.","Oct 31, 2018",0.5,4.3,11,6.5,142.76,CRM
"salesforce.com, inc.","Sep 30, 2018",0.5,4.3,11,6.5,137.24,CRM
"salesforce.com, inc.","Aug 31, 2018",0.5,4.3,11,6.5,159.03,CRM
"salesforce.com, inc.","Jul 31, 2018",0.5,4.3,11,6.5,152.68,CRM
"salesforce.com, inc.","Jun 30, 2018",0.5,4.3,11,6.5,137.15,CRM
"salesforce.com, inc.","May 31, 2018",0.5,4.3,11,6.5,136.40,CRM
"salesforce.com, inc.","Apr 30, 2018",0.5,4.3,11,6.5,129.33,CRM
"salesforce.com, inc.","Mar 31, 2018",0.5,4.3,11,6.5,120.99,CRM
"salesforce.com, inc.","Mar 01, 2018",0.5,4.3,11,6.5,116.30,CRM
"salesforce.com, inc.","Feb 01, 2018",0.5,4.3,11,6.5,116.25,CRM
"salesforce.com, inc.","Jan 01, 2018",0.5,4.3,11,6.5,113.91,CRM
"salesforce.com, inc.","Dec 01, 2017",0.5,4.3,11,6.5,102.23,CRM
"salesforce.com, inc.","Oct 31, 2017",0.5,4.3,11,6.5,104.32,CRM
"salesforce.com, inc.","Sep 30, 2017",0.5,4.3,11,6.5,102.34,CRM
"salesforce.com, inc.","Aug 31, 2017",0.5,4.3,11,6.5,93.42,CRM
"salesforce.com, inc.","Jul 31, 2017",0.5,4.3,11,6.5,95.49,CRM
"salesforce.com, inc.","Jun 30, 2017",0.5,4.3,11,6.5,90.80,CRM
"salesforce.com, inc.","May 31, 2017",0.5,4.3,11,6.5,86.60,CRM
"salesforce.com, inc.","Apr 30, 2017",0.5,4.3,11,6.5,89.64,CRM
"salesforce.com, inc.","Mar 31, 2017",0.5,4.3,11,6.5,86.12,CRM
"salesforce.com, inc.","Mar 01, 2017",0.5,4.3,11,6.5,82.49,CRM
"salesforce.com, inc.","Feb 01, 2017",0.5,4.3,11,6.5,81.35,CRM
"salesforce.com, inc.","Jan 01, 2017",0.5,4.3,11,6.5,79.10,CRM
"salesforce.com, inc.","Dec 01, 2016",0.5,4.3,11,6.5,68.46,CRM
"salesforce.com, inc.","Oct 31, 2016",0.5,4.3,11,6.5,72.00,CRM
"salesforce.com, inc.","Sep 30, 2016",0.5,4.3,11,6.5,75.16,CRM
"salesforce.com, inc.","Aug 31, 2016",0.5,4.3,11,6.5,71.33,CRM
"salesforce.com, inc.","Jul 31, 2016",0.5,4.3,11,6.5,79.42,CRM
"salesforce.com, inc.","Jun 30, 2016",0.5,4.3,11,6.5,81.80,CRM
"salesforce.com, inc.","May 31, 2016",0.5,4.3,11,6.5,79.41,CRM
"salesforce.com, inc.","Apr 30, 2016",0.5,4.3,11,6.5,83.71,CRM
"salesforce.com, inc.","Mar 31, 2016",0.5,4.3,11,6.5,75.80,CRM
"salesforce.com, inc.","Mar 01, 2016",0.5,4.3,11,6.5,73.83,CRM
"salesforce.com, inc.","Feb 01, 2016",0.5,4.3,11,6.5,67.75,CRM
"salesforce.com, inc.","Jan 01, 2016",0.5,4.3,11,6.5,68.06,CRM
"salesforce.com, inc.","Dec 01, 2015",0.5,4.3,11,6.5,78.40,CRM
